corpus_id	cos_rw	cos_all	det_rw	det_all
60440594	0.8733340501785278	0.7673832774162292	0.2102346271276474	0.28782880306243896
60443006	0.742375910282135	0.7798627614974976	0.7178078889846802	0.44579729437828064
60443075	0.7230255603790283	0.7392604351043701	0.38075780868530273	0.2992347776889801
10990242	0.8453361392021179	0.887148380279541	0.3635595440864563	0.23074831068515778
56486562	0.6333650350570679	0.677335262298584	0.6006000638008118	0.4315950274467468
189330997	0.817108154296875	0.800371527671814	0.3872638940811157	0.35600727796554565
5950869	0.9278349876403809	0.8132942318916321	0.3312634527683258	0.2604064643383026
44637739	0.7249926328659058	0.7979409694671631	0.7416297793388367	0.4409954845905304
33566528	0.0	0.0	0.0	0.0
114621669	0.8908689618110657	0.9012024998664856	0.42878252267837524	0.2572243809700012
135489544	0.0	0.0	0.0	0.0
257612	0.9636664390563965	0.9201884269714355	0.23486965894699097	0.19660326838493347
259852	0.7346224188804626	0.7651512622833252	0.5052601099014282	0.3854566812515259
53608110	0.0	0.0	0.0	0.0
53608843	0.8248066902160645	0.7927234172821045	0.4902493357658386	0.4623430669307709
55502423	0.0	0.0	0.0	0.0
55506268	0.0	0.0	0.0	0.0
55507211	0.0	0.0	0.0	0.0
150252292	0.0	0.0	0.0	0.0
34379073	0.0	0.0	0.0	0.0
1570347	0.7289441823959351	0.6581723690032959	0.37676894664764404	0.39208248257637024
1571765	0.9741551280021667	0.9773362874984741	0.10252319276332855	0.10342499613761902
2286994	0.9322446584701538	0.891321063041687	0.24830931425094604	0.2746140658855438
2204643	0.7715274691581726	0.4622044265270233	0.52219557762146	0.7948371171951294
2207064	0.9532119035720825	0.8041657209396362	0.281910240650177	0.21700793504714966
2185472	0.7848200798034668	0.7622531652450562	0.3290119767189026	0.30267977714538574
2189269	0.9141066074371338	0.8722418546676636	0.33450189232826233	0.1954427808523178
2675444	0.8323450684547424	0.7724568247795105	0.2520226240158081	0.2974928319454193
5869413	0.9188876152038574	0.9512217044830322	0.17320260405540466	0.13761883974075317
73472748	0.8946157693862915	0.7958590984344482	0.31743595004081726	0.2497536987066269
73476807	0.0	0.0	0.0	0.0
123168014	0.8576036095619202	0.7706879377365112	0.23394203186035156	0.3150915205478668
51620436	0.0	0.0	0.0	0.0
186804715	0.8619086742401123	0.7254780530929565	0.3843963146209717	0.3997366726398468
42020510	0.9344419240951538	0.9278106689453125	0.35833731293678284	0.19758915901184082
202233437	0.8417866826057434	0.7589272260665894	0.32697799801826477	0.3083074688911438
62677101	0.8477884531021118	0.818716287612915	0.26799899339675903	0.23794986307621002
18757460	0.8543724417686462	0.8282350301742554	0.2882537245750427	0.25095975399017334
2561143	0.8537245392799377	0.8949247598648071	0.23467092216014862	0.19432882964611053
2563636	0.9349167346954346	0.8798364400863647	0.1724914312362671	0.22484205663204193
2569630	0.0	0.0	0.0	0.0
123154010	0.0	0.0	0.0	0.0
15678606	0.9305210113525391	0.8744122982025146	0.21916092932224274	0.24653752148151398
14192705	0.9718509912490845	0.9718140959739685	0.12777425348758698	0.09059446305036545
14195732	0.6901035904884338	0.7273714542388916	0.3846171796321869	0.3349878489971161
6015234	0.9483525156974792	0.8884402513504028	0.19460995495319366	0.18891584873199463
4672555	0.9283734560012817	0.8537499904632568	0.3784879446029663	0.2615654170513153
4675545	0.0	0.0	0.0	0.0
201671172	0.9367877244949341	0.7961903214454651	0.2863959074020386	0.3256676495075226
53184726	0.6642260551452637	0.649412989616394	0.47813424468040466	0.3961670398712158
13218419	0.9584771394729614	0.9467907547950745	0.14011040329933167	0.1883445531129837
113676385	0.0	0.0	0.0	0.0
150791817	0.8407020568847656	0.8508387804031372	0.3371090888977051	0.22802695631980896
22064280	0.9143841862678528	0.8745912313461304	0.26919183135032654	0.19814713299274445
8887730	0.9886159896850586	0.9639180898666382	0.11418785899877548	0.1154351755976677
8888880	0.7658682465553284	0.6452420949935913	0.3394477665424347	0.3901800811290741
8889838	0.0	0.0	0.0	0.0
13082616	0.9682292938232422	0.9543278217315674	0.10454082489013672	0.14194047451019287
73524847	0.8701463341712952	0.811356782913208	0.4697299599647522	0.35336834192276
96461268	0.9013554453849792	0.8694955706596375	0.18242743611335754	0.18569904565811157
125649419	0.6926532983779907	0.6022552251815796	0.5144368410110474	0.43689924478530884
53213342	0.8566761016845703	0.8094567060470581	0.2500792145729065	0.21500912308692932
213511231	0.0	0.0	0.0	0.0
7834541	0.6533639430999756	0.7262935638427734	0.6908227801322937	0.4343531131744385
5391500	0.8192930817604065	0.8156540393829346	0.22863991558551788	0.20690397918224335
64070308	0.8450626730918884	0.8918699026107788	0.18151825666427612	0.1578889787197113
25885624	0.6161507964134216	0.6395550966262817	0.4566623866558075	0.40966224670410156
30730714	0.7589330077171326	0.7500439882278442	0.29532039165496826	0.2748068869113922
15318208	0.9906264543533325	0.990864634513855	0.09199559688568115	0.08623504638671875
206370193	0.8188664317131042	0.781289279460907	0.27419471740722656	0.2684142589569092
206496232	0.9116623401641846	0.8539080619812012	0.2788776159286499	0.23296202719211578
67161926	0.7702293395996094	0.7371557950973511	0.4507483243942261	0.3419018089771271
124183599	0.8324986696243286	0.8963776230812073	0.5787941217422485	0.3112972378730774
17262176	0.9659018516540527	0.9556596279144287	0.2538856565952301	0.23277486860752106
3399725	0.7576404809951782	0.7089008092880249	0.40140607953071594	0.3371860086917877
10948783	0.0	0.0	0.0	0.0
55065581	0.814132571220398	0.6956037282943726	0.6097007989883423	0.595524787902832
55068250	0.0	0.0	0.0	0.0
6713142	0.0	0.0	0.0	0.0
14610443	0.9077641367912292	0.8368004560470581	0.19319483637809753	0.23406513035297394
6546783	0.750368595123291	0.7583621740341187	0.40733712911605835	0.3136034905910492
3744814	0.994717001914978	0.993161141872406	0.09759661555290222	0.08171972632408142
3748846	0.9387344717979431	0.9066375494003296	0.1356009989976883	0.1351623684167862
53822462	0.669525682926178	0.6761093139648438	0.42634493112564087	0.34604594111442566
7726461	0.9531387090682983	0.8651846647262573	0.30614158511161804	0.2629784941673279
7728397	0.926740288734436	0.7923765182495117	0.3827785849571228	0.2564101219177246
45418588	0.0	0.0	0.0	0.0
18181683	0.0	0.0	0.0	0.0
159434250	0.9046233296394348	0.8898128271102905	0.2697995603084564	0.21173697710037231
55580026	0.9126916527748108	0.847775936126709	0.24991585314273834	0.2055402249097824
